model,pipeline,split,metric,value,source
Late Fusion,AI-Agent,Validation,ece_10_equal_width,0.131177,AI-Agent frozen Task C result: results/taskC/validation/validation_metrics_taskC.json
Clinical LR,Human-guided,Validation,roc_auc,0.896131,Human-guided final result artifact: 03_TaskC_マルチモーダル/TaskC_LateFusion_Validation重み探索結果.csv
Clinical LR,AI-Agent,Validation,roc_auc,0.895072,AI-Agent frozen Task C result: results/taskC/validation/validation_metrics_taskC.json
Clinical LR,Human-guided,Validation,pr_auc,0.600921,Human-guided final result artifact: 03_TaskC_マルチモーダル/TaskC_LateFusion_Validation重み探索結果.csv
Clinical LR,AI-Agent,Validation,pr_auc,0.634584,AI-Agent frozen Task C result: results/taskC/validation/validation_metrics_taskC.json
Clinical LR,Human-guided,Validation,brier,0.079211,Human-guided final result artifact: 03_TaskC_マルチモーダル/TaskC_LateFusion_Validation重み探索結果.csv
Clinical LR,AI-Agent,Validation,brier,0.116927,AI-Agent frozen Task C result: results/taskC/validation/validation_metrics_taskC.json
Clinical LR,Human-guided,Validation,ece_10_equal_width,,Human-guided final result artifact: not recorded in the weight-search artefact
Clinical LR,AI-Agent,Validation,ece_10_equal_width,0.168053,AI-Agent frozen Task C result: results/taskC/validation/validation_metrics_taskC.json
CXR ResNet18,Human-guided,Validation,roc_auc,0.848967,Human-guided final result artifact: 03_TaskC_マルチモーダル/TaskC_LateFusion_Validation重み探索結果.csv
CXR ResNet18,AI-Agent,Validation,roc_auc,0.871754,AI-Agent frozen Task C result: results/taskC/validation/validation_metrics_taskC.json
CXR ResNet18,Human-guided,Validation,pr_auc,0.560622,Human-guided final result artifact: 03_TaskC_マルチモーダル/TaskC_LateFusion_Validation重み探索結果.csv
CXR ResNet18,AI-Agent,Validation,pr_auc,0.562283,AI-Agent frozen Task C result: results/taskC/validation/validation_metrics_taskC.json
CXR ResNet18,Human-guided,Validation,brier,0.126565,Human-guided final result artifact: 03_TaskC_マルチモーダル/TaskC_LateFusion_Validation重み探索結果.csv
CXR ResNet18,AI-Agent,Validation,brier,0.096479,AI-Agent frozen Task C result: results/taskC/validation/validation_metrics_taskC.json
